person_id,name,email,phone,city,sources,num_source_records,match_confidence,experience_years,current_ctc,applied_date,status,hourly_rate,verified,projects_completed,skills
P0025,Pooja Kapoor,pooja.kapoor62@example.in,,Noida,source2_gig,1,unmatched,,,,active,131.25,,,"['react', 'rest apis', 'sql']"
P0026,Kavya Verma,kavya.verma74@mailtest.example.org,,Gurugram,source2_gig,1,unmatched,,,,active,1483.0,,,"['pandas', 'react', 'sql', 'web scraping']"
P0027,Tanvi Reddy,tanvi.reddy80@example.com,,Pune,source2_gig,1,unmatched,,,,paused,368.75,,,"['docker', 'langchain', 'python', 'rest apis', 'sql']"
P0028,Varun Singh,varun.singh81@example.com,,Noida,source2_gig,1,unmatched,,,,active,763.0,,,"['fastapi', 'mongodb', 'python', 'react']"
P0029,Tanvi Kapoor,tanvi.kapoor38@example.com,,Delhi,source2_gig,1,unmatched,,,,active,237.5,,,"['docker', 'mysql', 'selenium', 'web scraping']"
P0030,Nikhil Nair,nikhil.nair26@example.in,,Gurugram,source2_gig,1,unmatched,,,,active,1018.0,,,"['n8n', 'python', 'web scraping']"
P0031,Pooja Reddy,pooja.reddy96@mailtest.example.org,,Noida,source2_gig,1,unmatched,,,,inactive,590.0,,,"['docker', 'fastapi', 'pandas', 'sql', 'web scraping']"
P0032,Tanvi Sharma,tanvi.sharma56@mailtest.example.org,,Noida,source2_gig,1,unmatched,,,,active,456.25,,,"['fastapi', 'langchain', 'n8n', 'python', 'web scraping']"
P0033,Arjun Mishra,arjun.mishra70@example.com,9000000106,Delhi,"source1_naukri,source2_gig,source3_cbnexus",3,high,1.3,580000.0,2026-08-22,active,440.0,False,10.0,"['docker', 'javascript', 'react']"
P0034,Deepak Nair,deepak.nair57@example.in,,Delhi,source2_gig,1,unmatched,,,,active,1462.0,,,"['docker', 'javascript', 'mysql', 'react', 'sql', 'web scraping']"
P0035,Anjali Agarwal,anjali.agarwal53@mailtest.example.org,,Bengaluru,source2_gig,1,unmatched,,,,inactive,443.75,,,"['docker', 'javascript', 'react', 'rest apis', 'selenium', 'sql']"
P0036,Isha Kapoor,isha.kapoor54@example.com,9000000295,Delhi,"source1_naukri,source2_gig,source3_cbnexus",3,high,5.1,590000.0,2026-08-21,active,93.75,True,6.0,"['fastapi', 'javascript', 'mysql', 'python', 'react', 'selenium']"
P0037,Meera Bhatia,meera.bhatia52@mailtest.example.org,9000000223,Delhi,"source1_naukri,source2_gig,source3_cbnexus",3,high,5.1,1120000.0,2026-07-03,active,330.0,False,4.0,"['docker', 'langchain', 'mysql', 'python', 'react', 'sql']"
P0038,Vikram Saxena,vikram.saxena60@example.com,9000000113,Gurugram,"source1_naukri,source2_gig,source3_cbnexus",3,high,1.9,654699.0,2026-07-07,active,843.0,False,15.0,"['docker', 'fastapi', 'react', 'selenium', 'sql', 'web scraping']"
P0039,Rahul Chopra,rahul.chopra70@example.com,9000000137,Noida,"source1_naukri,source2_gig,source3_cbnexus",3,high,1.7,270000.0,2026-07-27,inactive,450.0,False,10.0,"['docker', 'python', 'zapier']"
P0040,Tanvi Gupta,tanvi.gupta31@example.com,9000000254,Bengaluru,"source1_naukri,source2_gig,source3_cbnexus",3,high,4.2,417964.0,2026-07-24,paused,1331.0,False,14.0,"['langchain', 'mongodb', 'n8n', 'rest apis', 'sql']"
P0041,Rohit Nair,rohit.nair32@mailtest.example.org,9000000268,Gurugram,"source1_naukri,source3_cbnexus",2,high,2.4,760000.0,2026-08-19,,,True,13.0,"['docker', 'n8n', 'rest apis', 'web scraping']"
P0042,Ritu Sharma,ritu.sharma23@mailtest.example.org,9000000146,Noida,"source1_naukri,source3_cbnexus",2,high,4.8,610000.0,2026-08-03,,,True,15.0,"['mongodb', 'n8n', 'react', 'sql', 'web scraping']"
P0043,Priya Saxena,priya.saxena61@example.com,9000000231,Delhi,"source1_naukri,source3_cbnexus",2,high,5.0,660000.0,2026-08-16,,,False,12.0,"['mysql', 'python', 'react', 'zapier']"
P0044,Arjun Mehta,arjun.mehta77@mailtest.example.org,9000000272,Noida,"source2_gig,source3_cbnexus",2,low,,,,inactive,262.5,True,14.0,"['docker', 'fastapi', 'mysql', 'pandas', 'web scraping', 'zapier']"
P0045,Manish Bhatia,manish.bhatia3@example.com,9000000161,Noida,"source2_gig,source3_cbnexus",2,low,,,,active,456.25,True,5.0,"['docker', 'javascript', 'pandas', 'react', 'rest apis', 'web scraping']"
P0046,Divya Chopra,divya.chopra59@example.in,9000000111,Noida,"source2_gig,source3_cbnexus",2,low,,,,inactive,343.75,False,5.0,"['docker', 'fastapi', 'mongodb', 'zapier']"
P0047,Karan Chopra,karan.chopra76@mailtest.example.org,9000000245,Pune,"source2_gig,source3_cbnexus",2,low,,,,active,437.0,False,10.0,"['mongodb', 'n8n', 'pandas', 'python', 'selenium']"
P0048,Arjun Mehta,arjun.mehta9@example.in,9000000131,Noida,"source1_naukri,source3_cbnexus",2,high,4.0,1181149.0,2026-07-21,,,False,9.0,"['n8n', 'selenium', 'sql']"
P0049,Vikram Mehta,vikram.mehta6@example.com,9000000261,Pune,"source2_gig,source3_cbnexus",2,low,,,,active,137.5,True,2.0,"['langchain', 'python', 'rest apis']"
P0050,Nikhil Mehta,nikhil.mehta5@example.com,9000000104,Pune,"source1_naukri,source3_cbnexus",2,high,2.9,930000.0,2026-07-26,,,True,10.0,"['docker', 'langchain', 'python', 'react', 'selenium', 'zapier']"
P0051,Rahul Malhotra,rahul.malhotra69@mailtest.example.org,9000000260,Delhi,"source1_naukri,source3_cbnexus",2,high,2.5,864237.0,2026-07-03,,,False,4.0,"['mongodb', 'mysql', 'rest apis', 'selenium', 'sql']"
P0052,Deepak Mehta,deepak.mehta86@example.in,9000000116,Noida,"source1_naukri,source3_cbnexus",2,high,2.7,327287.0,2026-07-23,,,True,11.0,"['langchain', 'mongodb', 'mysql', 'n8n', 'rest apis', 'selenium']"
P0053,Sahil Malhotra,sahil.malhotra1@example.in,9000000143,Noida,"source1_naukri,source3_cbnexus",2,high,1.7,806661.0,2026-07-13,,,False,0.0,"['docker', 'fastapi', 'mysql', 'pandas', 'rest apis', 'zapier']"
P0054,Shreya Gupta,shreya.gupta85@example.com,9000000227,Noida,"source1_naukri,source3_cbnexus",2,high,3.3,830000.0,2026-07-19,,,True,13.0,"['docker', 'n8n', 'python', 'web scraping', 'zapier']"
P0055,Priya Singh,priya.singh61@mailtest.example.org,9000000287,Gurugram,"source1_naukri,source3_cbnexus",2,high,3.0,775670.0,2026-08-01,,,True,3.0,"['mysql', 'n8n', 'python', 'react', 'sql', 'zapier']"
